"Omschrijving","Vakcode","Startweek (ISO)","Startdag","Startdatum","Starttijd","Einddag","Einddatum","Eindtijd","Duur","Type","Docent(en)","Locatie(s)","Faculteit","Grootte","Opmerking 1","Opmerking 2","Concept","Deze activiteit vindt op locatie plaats","Deze activiteit vindt online plaats"
"Object-Oriented and Functional Programming (HC)","XB_0019","36","ma","2022-09-05","11:00","ma","2022-09-05","12:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-Q105(208/52T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","36","ma","2022-09-05","13:30","ma","2022-09-05","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","MF-FG1(343/85T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (PR)","XB_0019","36","di","2022-09-06","09:00","di","2022-09-06","10:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (WC)","X_400614","36","wo","2022-09-07","11:00","wo","2022-09-07","12:45","1:45","Werkcollege","Massacci, F., Tuma, K.","WN-C659(40/20T), WN-M607 (50/25T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","500","","","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (HC)","XB_0019","36","do","2022-09-08","09:00","do","2022-09-08","10:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-KC159(168/42T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (PR)","XB_0019","36","do","2022-09-08","11:00","do","2022-09-08","12:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","36","do","2022-09-08","13:30","do","2022-09-08","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (HC)","XB_0019","37","ma","2022-09-12","11:00","ma","2022-09-12","12:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-Q105(208/52T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","37","ma","2022-09-12","13:30","ma","2022-09-12","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","MF-FG1(343/85T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (PR)","XB_0019","37","di","2022-09-13","09:00","di","2022-09-13","10:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (WC)","X_400614","37","wo","2022-09-14","11:00","wo","2022-09-14","12:45","1:45","Werkcollege","Massacci, F., Tuma, K.","WN-C659(40/20T), WN-M607 (50/25T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","500","","","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (HC)","XB_0019","37","do","2022-09-15","09:00","do","2022-09-15","10:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-KC159(168/42T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (PR)","XB_0019","37","do","2022-09-15","11:00","do","2022-09-15","12:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","37","do","2022-09-15","13:30","do","2022-09-15","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (HC)","XB_0019","38","ma","2022-09-19","11:00","ma","2022-09-19","12:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-Q105(208/52T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","38","ma","2022-09-19","13:30","ma","2022-09-19","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","MF-FG1(343/85T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
